"year","nb_dept_infected","lat_max_infected","pop_infected"
2004,1,44.361051257141,1053182
2005,1,44.361051257141,1063500
2006,2,44.361051257141,1231584
2007,4,44.431367227183,1919815
2008,4,44.431367227183,1926296
2009,4,44.431367227183,1924839
2010,6,44.659501345682,4063694
2011,9,48.704854504824,6977537
2012,17,49.485111873749,10170891
2013,18,49.485111873749,11328443
2014,20,49.485111873749,12765904
2015,30,49.485111873749,18628967
2016,33,49.485111873749,22394868
2017,39,50.069271974234,26459172
2018,48,51.08854370897,37084709
2019,55,51.08854370897,42109168
2020,60,51.08854370897,44407419
2021,62,51.08854370897,44911739
2022,65,51.08854370897,46387850
2023,71,51.08854370897,50429631
2024,74,51.08854370897,51626535
